,City,Country,Date,Lat,Lng,Temp,Humidity,Wind Speed,Cloudiness
268,La Ronge,CA,1553850000,55.1,-105.3,30.2,74,9.17,90
269,Kamenka,RU,1553852967,53.19,44.05,31.63,100,7.56,88
270,Bokovskaya,RU,1553852972,49.23,41.83,39.37,86,11.36,76
271,Suluq,LY,1553852974,31.67,20.25,57.19,75,26.35,92
272,Salaga,GH,1553852977,8.55,-0.52,86.26,74,12.44,0
273,Isla Vista,US,1553852977,34.41,-119.86,52.0,93,5.82,1
274,Pisco,PE,1553850000,-13.71,-76.2,68.0,88,3.36,88
275,Beloha,MG,1553852984,-25.17,45.06,88.51,54,8.08,0
276,Chanute,US,1553852768,37.68,-95.46,62.6,100,4.7,90
277,Rock Springs,US,1553849640,41.59,-109.2,32.0,76,10.29,1
278,Mopipi,BW,1553852991,-21.2,24.86,90.85,25,6.29,0
279,Oranjemund,ZA,1553852993,-28.55,16.43,60.79,91,14.12,0
280,Ardesen,TR,1553850000,41.19,40.99,44.6,87,6.93,75
281,Roblin,CA,1553852998,51.23,-101.35,27.58,81,13.56,80
282,Caloundra,AU,1553852988,-26.8,153.14,77.0,73,9.17,75
283,Bagotville,AU,1553852756,-28.98,153.42,75.2,78,10.29,40
284,Gejiu,CN,1553853007,23.36,103.16,70.06,59,2.82,0
285,Tayoltita,MX,1553853010,24.11,-105.93,62.59,41,2.26,0
286,Saldanha,PT,1553853012,41.42,-6.55,49.54,44,3.38,0
287,Kawhia,NZ,1553853001,-38.07,174.82,68.0,30,16.8,100
288,Kovur,IN,1553853017,14.5,79.99,100.48,33,9.42,8
289,Soc Trang,VN,1553850000,9.6,105.98,93.2,52,2.24,40
290,Laramie,US,1553852994,41.31,-105.59,33.8,100,16.11,90
291,Nurlat,RU,1553853029,54.43,50.8,32.71,96,11.59,92
292,Rundu,NA,1553853031,-17.91,19.77,88.06,39,6.55,20
293,Mollendo,PE,1553853034,-17.03,-72.02,56.92,87,2.48,20
294,Ixtapa,MX,1553853024,20.71,-105.21,66.99,82,5.82,5
295,Kahului,US,1553852744,20.89,-156.47,70.0,82,4.7,20
296,Mount Gambier,AU,1553850000,-37.83,140.78,48.2,76,19.46,75
297,Mugla,BG,1553850000,41.62,24.49,51.8,34,3.36,0
298,Rio Pardo de Minas,BR,1553853045,-15.62,-42.55,66.91,91,8.12,68
299,Ruse,BG,1553850022,43.85,25.95,54.0,45,5.99,0
300,Ofaqim,IL,1553852780,31.31,34.62,66.99,56,8.23,100
301,Atasu,KZ,1553853055,48.68,71.64,49.09,81,17.58,76
302,Kenai,US,1553852824,60.55,-151.26,34.0,97,4.27,1
303,Ararat,AU,1553852798,-37.28,142.93,51.01,66,5.01,0
304,Arnedo,ES,1553852426,42.23,-2.1,57.0,61,5.82,0
305,Tangzhai,CN,1553853064,26.73,109.0,76.45,50,5.28,0
306,Paamiut,GL,1553853066,61.99,-49.67,29.65,98,32.91,76
307,Nerchinskiy Zavod,RU,1553853069,51.31,119.61,22.18,33,4.38,48
308,Vila Velha,BR,1553851691,-3.71,-38.6,73.99,94,4.7,75
309,Raudeberg,NO,1553853002,61.99,5.14,48.2,87,26.4,75
310,Novaya Chigla,RU,1553853076,51.22,40.48,38.38,75,13.11,92
311,Mehamn,NO,1553849400,71.03,27.85,32.0,89,20.8,75
312,Broken Hill,AU,1553850000,-31.97,141.45,73.4,40,27.51,32
313,Necochea,AR,1553852480,-38.55,-58.74,61.0,91,3.0,24
314,Grenaa,DK,1553852753,56.42,10.88,54.0,71,17.22,0
315,Chicaman,GT,1553853092,15.4,-90.73,62.68,100,0.36,80
316,Alofi,NU,1553850000,-19.06,-169.92,75.2,94,18.34,92
317,Katsuura,JP,1553852066,33.93,134.5,55.99,76,16.11,75
318,Bridgewater,US,1553852946,41.99,-70.98,46.0,81,9.17,90
319,Hay River,CA,1553850000,60.82,-115.79,23.0,85,5.82,5
320,Grants Pass,US,1553852832,42.44,-123.33,42.01,93,1.97,75
321,Kholtoson,RU,1553853109,50.3,103.31,27.85,40,6.22,76
322,Kaeo,NZ,1553852285,-35.1,173.78,66.99,83,11.81,88
323,Qingdao,CN,1553850000,36.09,120.35,46.4,81,2.24,90
324,Mujiayingzi,CN,1553853118,42.12,118.78,36.76,53,8.52,80
325,Souillac,FR,1553853035,45.6,-0.6,57.99,54,6.93,0
326,Plettenberg Bay,ZA,1553852842,-34.05,23.37,68.53,95,1.81,8
327,Otradnoye,RU,1553853035,59.77,30.8,48.2,61,8.95,0
328,Saint Paul,US,1553853125,44.95,-93.1,30.99,58,5.82,1
329,Progreso,UY,1553852776,-34.68,-56.22,66.0,88,8.05,0
330,Manta,RO,1553853135,45.1,24.1,49.99,53,5.61,0
331,Nishihara,JP,1553853006,35.74,139.53,48.0,65,9.17,75
332,Fairbanks,US,1553853140,64.84,-147.72,33.8,86,3.36,90
333,Sao Jose da Coroa Grande,BR,1553853142,-8.9,-35.15,78.16,92,6.89,88
334,Bowling Green,US,1553853010,36.99,-86.44,59.0,44,8.05,20
335,Totness,US,1553853104,33.74,-80.8,46.0,100,4.05,1
336,Maun,BW,1553850000,-19.99,23.42,93.2,26,11.41,0
337,Sarkand,KZ,1553853154,45.41,79.91,66.19,74,4.5,8
338,Ushtobe,KZ,1553853156,45.25,77.98,73.12,44,8.01,12
339,Ishim,RU,1553853161,56.11,69.47,34.42,94,9.53,92
340,Sola,NO,1553853002,58.89,5.65,48.0,87,13.87,75
341,Togur,RU,1553853166,58.36,82.83,39.28,80,11.14,68
342,Yaan,NG,1553853168,7.38,8.57,90.31,56,9.75,8
343,Tiksi,RU,1553853171,71.64,128.87,19.66,74,14.56,88
344,Simpang,MY,1553850000,4.82,100.71,89.6,74,11.41,75
345,Kon Tum,VN,1553852890,14.36,108.0,81.49,64,3.87,8
346,Taunggyi,MM,1553853180,20.78,97.03,85.09,28,3.09,0
347,Chilca,PE,1553853050,-13.22,-72.34,48.2,81,0.69,75
348,Lac du Bonnet,CA,1553853015,50.25,-96.06,28.0,91,5.01,64
349,San Juan del Sur,NI,1553853187,11.25,-85.87,77.44,78,20.04,12
350,Pesaro,IT,1553853177,43.91,12.91,57.2,58,5.82,0
351,Inhambane,MZ,1553850000,-23.87,35.38,84.2,62,5.82,20
352,Melito di Porto Salvo,IT,1553853099,37.92,15.77,62.01,48,16.11,0
353,Burayevo,RU,1553853197,55.84,55.41,39.01,90,6.22,0
354,Phrae,TH,1553852718,18.14,100.15,104.0,15,2.24,0
355,Dauphin,CA,1553850000,51.15,-100.04,37.4,59,18.34,90
356,Clyde River,CA,1553852580,70.47,-68.59,-9.41,83,14.99,90
357,Puerto Quijarro,BO,1553853206,-19.0,-57.72,77.08,81,2.75,80
358,Severomuysk,RU,1553853209,56.17,113.57,14.8,69,2.53,68
359,Gandajika,CD,1553853211,-6.75,23.95,78.43,88,11.14,44
360,Merke,KZ,1553853213,42.87,73.19,38.02,90,1.52,8
361,Atar,MR,1553850000,20.52,-13.05,73.4,78,6.93,20
362,Omsukchan,RU,1553853218,62.53,155.8,5.08,77,11.77,56
363,North Bend,US,1553853024,43.41,-124.22,48.0,100,6.93,90
364,Kuna,US,1553853085,43.49,-116.42,41.0,100,4.99,1
365,Fuling,CN,1553853225,29.71,107.39,77.98,48,6.73,0
366,Vestmannaeyjar,IS,1553850000,63.44,-20.27,33.8,64,23.04,20
367,Birao,CF,1553853232,10.3,22.78,91.48,13,14.67,8
368,Abonnema,NG,1553850000,4.71,6.79,86.0,84,2.24,75
369,Mananjary,MG,1553853237,-19.16,46.8,75.01,90,2.19,12
370,Matadi,CD,1553853240,-5.83,13.46,80.41,96,2.53,56
371,Mackay,CA,1553850000,53.65,-115.58,24.8,92,4.7,1
372,Soyo,AO,1553850000,-6.13,12.37,84.2,70,6.93,75
373,Pozzallo,IT,1553853230,44.81,9.34,60.8,51,14.99,0
374,Tari,NG,1553853249,12.41,4.49,94.27,19,13.94,0
375,Keningau,MY,1553850000,5.33,116.16,87.01,74,3.36,75
376,Panguna,PG,1553853256,-6.32,155.48,76.09,94,2.75,80
377,Chinu,CO,1553853259,9.11,-75.4,78.16,86,8.08,68
378,Forio,IT,1553853246,40.73,13.86,62.01,38,16.11,0
379,Meulaboh,ID,1553853263,4.14,96.13,82.57,100,2.04,56
380,Watertown,US,1553853200,44.9,-97.12,28.99,92,3.36,90
381,Agirish,RU,1553853253,61.92,63.02,40.36,60,4.54,20
382,Ambikapur,IN,1553853271,23.12,83.2,93.73,25,12.88,8
383,Cacoal,BR,1553853273,-11.43,-61.44,70.69,96,2.26,92
384,Viransehir,TR,1553853275,37.24,39.76,49.27,100,5.77,92
385,Kurilsk,RU,1553853278,45.23,147.88,25.24,97,24.23,88
386,Laguna,MX,1553853280,27.52,-110.01,59.35,50,2.48,0
387,Camacha,PT,1553851800,33.08,-16.33,64.4,72,2.24,40
388,Arman,RU,1553853285,59.7,150.17,15.25,56,11.88,0
389,Santa Marta,CO,1553853122,11.24,-74.21,81.0,76,5.01,24
390,Businga,CD,1553853290,3.34,20.89,85.81,76,2.86,20
391,Mount Isa,AU,1553850000,-20.73,139.49,82.4,54,10.29,40
392,Moindou,NC,1553851800,-21.69,165.68,78.8,69,2.24,20
393,Isiro,CD,1553853297,2.77,27.62,87.34,64,3.04,24
394,Wajima,JP,1553850000,37.4,136.9,41.0,60,8.05,75
395,Kincardine,GB,1553853283,56.07,-3.72,53.01,66,17.22,40
396,Lixourion,GR,1553853093,38.2,20.43,57.99,100,18.34,20
397,Aviles,ES,1553853075,43.55,-5.92,59.0,81,6.93,40
398,Haines Junction,CA,1553853311,60.75,-137.51,15.7,79,2.04,44
399,Nemuro,JP,1553850000,43.32,145.57,28.4,63,5.82,40
400,Sao Filipe,CV,1553853316,14.9,-24.5,70.33,97,17.29,0
401,Shenjiamen,CN,1553853318,29.96,122.3,56.74,91,7.07,88
402,Pangnirtung,CA,1553853321,66.15,-65.72,15.43,77,12.44,88
403,Kittery,US,1553853323,43.09,-70.74,45.0,65,5.82,90
404,Sibu,MY,1553850000,2.29,111.83,91.4,59,2.24,75
405,Bonthe,SL,1553853328,7.53,-12.5,84.73,71,3.49,0
406,Faanui,PF,1553853330,-16.48,-151.75,84.82,98,4.83,0
407,Freeport,BS,1553853333,26.54,-78.7,72.85,100,17.07,36
408,Kapuskasing,CA,1553850000,49.42,-82.43,10.4,78,4.05,20
409,Cajazeiras,BR,1553853338,-6.89,-38.56,69.43,94,3.04,64
410,Kinablangan,PH,1553853340,7.69,126.55,79.69,100,8.86,12
411,Carutapera,BR,1553853342,-1.2,-46.02,77.8,96,4.88,80
412,Walvis Bay,NA,1553850132,-22.95,14.51,78.8,44,8.05,56
413,Capao da Canoa,BR,1553853349,-29.75,-50.01,74.29,99,20.65,76
414,Sochi,RU,1553851800,43.6,39.73,44.6,70,6.71,75
415,Chapais,CA,1553851020,49.78,-74.86,8.6,65,4.7,90
416,La Romana,DO,1553850000,18.43,-68.97,71.6,94,2.53,40
417,Muncar,ID,1553853359,-8.43,114.34,84.37,82,5.21,44
418,Sao Felix do Xingu,BR,1553853361,-6.64,-51.99,73.66,99,0.51,92
419,Koshurnikovo,RU,1553853363,54.3,93.39,35.14,51,2.86,12
420,Shkurinskaya,RU,1553853366,46.58,39.36,44.59,75,8.52,0
421,Saint-Philippe,CA,1553853145,45.36,-73.48,43.0,86,8.05,90
422,Umm Lajj,SA,1553853371,25.02,37.27,79.42,56,7.85,0
423,Sisimiut,GL,1553853375,66.94,-53.67,1.12,68,3.2,48
424,Fershampenuaz,RU,1553853378,53.52,59.82,44.68,90,11.32,0
425,Sur,OM,1553853253,22.57,59.53,78.43,85,10.25,0
426,Nyurba,RU,1553853382,63.29,118.35,29.65,61,2.75,44
427,Colares,PT,1553853343,38.8,-9.45,62.01,55,8.05,0
428,Inuvik,CA,1553850000,68.36,-133.71,30.2,74,3.36,90
429,San Juan del Parana,PY,1553850000,-27.3,-55.97,69.8,88,5.82,0
430,Mongu,ZM,1553853392,-15.27,23.14,85.63,53,4.61,0
431,Solnechnyy,RU,1553853394,50.72,136.64,20.56,71,3.71,68
432,Coihaique,CL,1553850000,-45.58,-72.07,53.6,58,2.24,64
433,Mbandaka,CD,1553853399,0.05,18.26,86.89,77,2.75,0
434,Kalmunai,LK,1553853402,7.42,81.82,93.46,46,6.78,0
435,Richards Bay,ZA,1553853404,-28.77,32.06,80.05,60,13.56,0
436,Hirara,JP,1553850000,24.8,125.28,77.0,78,9.17,40
437,Vilyuysk,RU,1553853409,63.75,121.63,25.06,63,2.59,0
438,Terre Haute,US,1553853144,39.47,-87.41,55.99,93,3.36,90
439,Gisborne,NZ,1553853011,-38.66,178.02,62.01,98,10.58,92
440,Khani,GE,1553851800,41.96,42.96,46.4,70,6.93,90
441,Aquiraz,BR,1553853600,-3.9,-38.39,75.2,94,4.7,75
442,Caravelas,BR,1553853428,-17.73,-39.27,78.97,100,14.38,76
443,Torbay,CA,1553853160,47.66,-52.73,25.0,85,16.11,20
444,Alexandria,US,1553853242,31.31,-92.44,55.99,93,8.05,1
445,Moose Factory,CA,1553850000,51.26,-80.61,8.6,71,6.93,1
446,Yatou,CM,1553850000,3.63,9.81,86.0,74,3.36,40
447,Alihe,CN,1553853440,50.57,123.73,24.61,34,3.83,56
448,Broome,GB,1553853428,52.47,1.45,57.99,58,11.41,0
449,Jiwani,PK,1553853444,25.05,61.74,86.98,55,13.89,0
450,Coahuayana,MX,1553853447,18.62,-100.35,54.85,69,1.86,0
451,Jobner,IN,1553851800,26.97,75.39,104.0,7,4.7,40
452,Vilcun,CL,1553850000,-38.65,-72.23,51.8,100,3.36,90
453,Barinitas,VE,1553853454,8.76,-70.41,70.33,75,2.04,68
454,Lima,PE,1553853131,-12.06,-77.04,69.01,94,4.7,0
455,Tanabe,JP,1553853422,33.73,135.39,57.0,71,6.93,75
456,Jiuquan,CN,1553853461,39.73,98.49,42.34,69,5.32,0
457,Melkote,IN,1553851800,12.66,76.65,96.8,23,8.05,20
458,Mazagao,BR,1553850000,-0.12,-51.29,78.8,100,8.05,75
459,Glasgow,GB,1553853283,55.86,-4.24,50.0,81,18.34,90
460,The Valley,AI,1553852828,18.22,-63.06,78.8,74,10.29,20
461,Lamar,US,1553852724,38.09,-102.62,39.2,100,9.17,90
462,Port Pirie,AU,1553850000,-33.18,138.01,62.6,55,23.04,75
463,Omboue,GA,1553853485,-1.57,9.26,83.38,100,8.75,64
464,Portree,GB,1553853004,57.41,-6.19,48.99,80,14.0,92
465,Alpharetta,US,1553853212,34.07,-84.27,48.99,49,2.86,1
466,Bensonville,LR,1553850000,6.45,-10.61,82.4,78,4.7,40
467,Saint George,GR,1553853211,39.45,22.34,55.4,35,12.75,20
468,Vostok,RU,1553853497,46.45,135.83,25.06,43,4.21,56
469,Puerto Escondido,MX,1553853499,15.86,-97.07,82.66,100,9.08,0
470,Luderitz,NA,1553853502,-26.65,15.16,66.73,90,9.31,0
471,Halifax,CA,1553853122,44.65,-63.58,37.0,100,8.05,90
472,Nanlong,CN,1553853507,31.35,106.05,75.28,58,7.78,0
473,Santiago de Cao,PE,1553850000,-7.96,-79.24,68.0,94,5.82,75
474,Santa Fe,AR,1553853332,-31.62,-60.7,64.99,95,3.0,36
475,Igarka,RU,1553853516,67.47,86.57,30.64,95,16.13,80
476,Saint-Pierre,FR,1553853425,48.95,4.24,57.0,66,8.05,0
477,Kiama,AU,1553853428,-34.67,150.86,73.99,83,7.0,75
478,Robat Karim,IR,1553851800,35.49,51.08,59.0,41,9.17,40
479,Dingle,PH,1553853526,11.0,122.67,87.07,54,10.58,12
480,Maceio,BR,1553853600,-9.67,-35.74,77.0,94,2.24,40
481,Zhezkazgan,KZ,1553851800,47.8,67.71,42.8,87,17.9,90
482,Leskovik,AL,1553853344,40.15,20.6,51.8,25,3.98,40
483,Dalbandin,PK,1553853536,28.9,64.41,76.81,56,5.84,8
484,Katobu,ID,1553853538,-4.94,122.53,86.71,83,6.78,8
485,Marsabit,KE,1553853541,2.34,37.99,85.36,71,8.63,0
486,Kimbe,PG,1553853543,-5.56,150.15,78.7,100,3.38,88
487,Sarahan,IN,1553853545,31.51,77.79,31.36,99,0.69,24
488,Oudtshoorn,ZA,1553850000,-33.59,22.2,73.4,69,5.82,20
489,Rio Grande,BR,1553853550,-32.03,-52.1,71.5,84,16.58,36
490,Neiafu,TO,1553853553,-18.65,-173.98,83.29,97,5.88,64
491,Tokamachi,JP,1553853078,37.13,138.76,43.0,47,1.01,92
492,San Patricio,PY,1553853560,-26.98,-56.83,66.28,88,2.08,0
493,Damietta,EG,1553850000,31.42,31.81,68.0,45,10.29,75
494,Komsomolskiy,RU,1553853564,67.55,63.78,28.12,88,14.83,0
495,Pali,IN,1553853567,25.77,73.33,102.55,21,5.73,64
496,Grand Gaube,MU,1553853544,-20.01,57.66,86.0,70,8.05,40
497,Kieta,PG,1553853572,-6.22,155.63,79.87,97,4.99,0
498,Waingapu,ID,1553853579,-9.65,120.26,80.86,86,3.76,48
499,Ojinaga,US,1553852100,29.56,-104.41,64.4,52,8.05,1
500,Iguape,BR,1553853583,-24.7,-47.56,71.68,100,11.03,92
501,Zhirnovsk,RU,1553853586,50.98,44.78,32.71,96,11.77,48
502,Illapel,CL,1553853588,-31.63,-71.17,53.41,99,1.81,48
503,Moussoro,TD,1553853591,13.64,16.49,92.2,15,12.1,0
504,Roebourne,AU,1553853593,-20.77,117.15,96.25,41,1.07,32
505,Ponta Delgada,PT,1553853565,37.73,-25.67,59.0,67,10.29,20
506,Batagay,RU,1553853598,67.65,134.64,8.68,63,5.61,0
507,Abu Kamal,SY,1553853600,34.45,40.92,67.63,47,13.78,64
508,Haicheng,CN,1553853603,40.85,122.74,49.99,15,7.4,88
509,Muroto,JP,1553850000,33.37,134.14,60.8,63,3.36,75
510,Sulangan,PH,1553853609,11.14,123.72,83.38,97,7.07,0
511,Divo,CI,1553853611,5.83,-5.36,85.09,72,8.3,24
512,Luwuk,ID,1553853368,-0.95,122.79,78.79,99,2.26,48
513,Port Lincoln,AU,1553853616,-34.72,135.86,58.36,94,22.44,48
514,Bam,IR,1553853424,29.11,58.36,72.4,12,5.39,0
515,Hobyo,SO,1553853621,5.35,48.53,86.53,66,13.6,0
516,Kathmandu,NP,1553853000,27.71,85.32,71.6,56,4.7,75
517,Khilok,RU,1553853625,51.36,110.46,29.56,29,6.55,76
518,Slave Lake,CA,1553850000,55.28,-114.77,33.8,74,2.24,90
519,Pacific Grove,US,1553853629,36.62,-121.92,51.8,100,3.36,1
520,Sobolevo,RU,1553853633,54.43,31.9,44.5,87,16.69,48
521,Anito,PH,1553853635,12.45,125.29,80.14,97,10.42,0
522,Krapina,HR,1553853628,46.16,15.87,57.2,54,5.82,75
523,Lethem,GY,1553853640,3.38,-59.8,79.96,69,10.54,0
524,Altay,CN,1553853644,47.83,88.13,43.69,62,2.53,88
525,Todos Santos,MX,1553852825,23.45,-110.23,71.01,85,11.14,0
526,Udachnyy,RU,1553853649,66.42,112.4,28.93,75,4.32,56
527,Stolin,BY,1553853652,51.89,26.85,46.84,72,11.14,68
528,Mus,FR,1553853605,43.74,4.2,62.6,67,3.36,0
529,Rosetta,EG,1553850000,31.4,30.42,69.8,64,14.99,40
530,Kupang,ID,1553853659,-10.16,123.6,79.78,100,5.55,76
531,Yulara,AU,1553850000,-25.24,130.99,86.0,27,19.46,0
532,Tommot,RU,1553853668,58.97,126.27,17.86,49,2.48,32
533,Arti,RU,1553853670,56.43,58.53,39.55,84,4.5,24
534,Miraflores,CO,1553853675,5.2,-73.14,53.95,100,1.81,92
535,Vidalia,US,1553853608,31.57,-91.43,53.6,76,6.06,1
536,Victor Harbor,AU,1553853663,-35.55,138.62,59.0,51,26.4,40
537,Hovd,NO,1553853602,63.83,10.7,43.0,93,21.92,90
